_input_address,_input_zpid,_input_url,_which,_fetched_at,message,source,GraphType,RecentFirst,DataPoints_city,DataPoints_state,DataPoints_streetAddress,DataPoints_zipcode,DataPoints_Current_Rent_Zestimate,_error
"1280 W Peachtree St NW Apt 1402 # 1402, Atlanta, GA, 30309",71759463,https://www.zillow.com/homedetails/71759463_zpid/,rent_zestimate_history,2026-04-12T16:13:37.098778+00:00,,,,,,,,,,402 Client Error: Payment Required for url: https://zillow.realtyapi.io/graph_charts?recent_first=True&which=rent_zestimate_history&byzpid=71759463&byurl=https%3A%2F%2Fwww.zillow.com%2Fhomedetails%2F71759463_zpid%2F&byaddress=1280+W+Peachtree+St+NW+Apt+1402+%23+1402%2C+Atlanta%2C+GA%2C+30309
"1280 W Peachtree St NW Apt 1402 # 1402, Atlanta, GA, 30309",71759463,https://www.zillow.com/homedetails/71759463_zpid/,zestimate_history,2026-04-12T16:13:37.362665+00:00,,,,,,,,,,402 Client Error: Payment Required for url: https://zillow.realtyapi.io/graph_charts?recent_first=True&which=zestimate_history&byzpid=71759463&byurl=https%3A%2F%2Fwww.zillow.com%2Fhomedetails%2F71759463_zpid%2F&byaddress=1280+W+Peachtree+St+NW+Apt+1402+%23+1402%2C+Atlanta%2C+GA%2C+30309
"3777 Peachtree Rd NE Apt 1205 # 1205, Brookhaven, GA, 30319",2099113929,https://www.zillow.com/homedetails/2099113929_zpid/,rent_zestimate_history,2026-04-12T16:13:37.616758+00:00,,,,,,,,,,402 Client Error: Payment Required for url: https://zillow.realtyapi.io/graph_charts?recent_first=True&which=rent_zestimate_history&byzpid=2099113929&byurl=https%3A%2F%2Fwww.zillow.com%2Fhomedetails%2F2099113929_zpid%2F&byaddress=3777+Peachtree+Rd+NE+Apt+1205+%23+1205%2C+Brookhaven%2C+GA%2C+30319
"3777 Peachtree Rd NE Apt 1205 # 1205, Brookhaven, GA, 30319",2099113929,https://www.zillow.com/homedetails/2099113929_zpid/,zestimate_history,2026-04-12T16:13:37.879410+00:00,,,,,,,,,,402 Client Error: Payment Required for url: https://zillow.realtyapi.io/graph_charts?recent_first=True&which=zestimate_history&byzpid=2099113929&byurl=https%3A%2F%2Fwww.zillow.com%2Fhomedetails%2F2099113929_zpid%2F&byaddress=3777+Peachtree+Rd+NE+Apt+1205+%23+1205%2C+Brookhaven%2C+GA%2C+30319
"955 Juniper St NE # 2316, Atlanta, GA, 30309",65469251,https://www.zillow.com/homedetails/65469251_zpid/,rent_zestimate_history,2026-04-12T16:13:38.136571+00:00,,,,,,,,,,402 Client Error: Payment Required for url: https://zillow.realtyapi.io/graph_charts?recent_first=True&which=rent_zestimate_history&byzpid=65469251&byurl=https%3A%2F%2Fwww.zillow.com%2Fhomedetails%2F65469251_zpid%2F&byaddress=955+Juniper+St+NE+%23+2316%2C+Atlanta%2C+GA%2C+30309
"955 Juniper St NE # 2316, Atlanta, GA, 30309",65469251,https://www.zillow.com/homedetails/65469251_zpid/,zestimate_history,2026-04-12T16:13:38.421422+00:00,,,,,,,,,,402 Client Error: Payment Required for url: https://zillow.realtyapi.io/graph_charts?recent_first=True&which=zestimate_history&byzpid=65469251&byurl=https%3A%2F%2Fwww.zillow.com%2Fhomedetails%2F65469251_zpid%2F&byaddress=955+Juniper+St+NE+%23+2316%2C+Atlanta%2C+GA%2C+30309
"4247 Millside Walk SE, Smyrna, GA, 30080",14306247,https://www.zillow.com/homedetails/14306247_zpid/,rent_zestimate_history,2026-04-12T16:13:38.687797+00:00,,,,,,,,,,402 Client Error: Payment Required for url: https://zillow.realtyapi.io/graph_charts?recent_first=True&which=rent_zestimate_history&byzpid=14306247&byurl=https%3A%2F%2Fwww.zillow.com%2Fhomedetails%2F14306247_zpid%2F&byaddress=4247+Millside+Walk+SE%2C+Smyrna%2C+GA%2C+30080
"4247 Millside Walk SE, Smyrna, GA, 30080",14306247,https://www.zillow.com/homedetails/14306247_zpid/,zestimate_history,2026-04-12T16:13:38.952285+00:00,,,,,,,,,,402 Client Error: Payment Required for url: https://zillow.realtyapi.io/graph_charts?recent_first=True&which=zestimate_history&byzpid=14306247&byurl=https%3A%2F%2Fwww.zillow.com%2Fhomedetails%2F14306247_zpid%2F&byaddress=4247+Millside+Walk+SE%2C+Smyrna%2C+GA%2C+30080
"950 W Peachtree St NW # 610, Atlanta, GA, 30309",446339470,https://www.zillow.com/homedetails/446339470_zpid/,rent_zestimate_history,2026-04-12T16:13:39.217031+00:00,,,,,,,,,,402 Client Error: Payment Required for url: https://zillow.realtyapi.io/graph_charts?recent_first=True&which=rent_zestimate_history&byzpid=446339470&byurl=https%3A%2F%2Fwww.zillow.com%2Fhomedetails%2F446339470_zpid%2F&byaddress=950+W+Peachtree+St+NW+%23+610%2C+Atlanta%2C+GA%2C+30309
"950 W Peachtree St NW # 610, Atlanta, GA, 30309",446339470,https://www.zillow.com/homedetails/446339470_zpid/,zestimate_history,2026-04-12T16:13:39.481225+00:00,,,,,,,,,,402 Client Error: Payment Required for url: https://zillow.realtyapi.io/graph_charts?recent_first=True&which=zestimate_history&byzpid=446339470&byurl=https%3A%2F%2Fwww.zillow.com%2Fhomedetails%2F446339470_zpid%2F&byaddress=950+W+Peachtree+St+NW+%23+610%2C+Atlanta%2C+GA%2C+30309
"424 Lindbergh Dr NE # 208, Atlanta, GA, 30305",2086299795,https://www.zillow.com/homedetails/2086299795_zpid/,rent_zestimate_history,2026-04-12T16:13:39.787765+00:00,,,,,,,,,,402 Client Error: Payment Required for url: https://zillow.realtyapi.io/graph_charts?recent_first=True&which=rent_zestimate_history&byzpid=2086299795&byurl=https%3A%2F%2Fwww.zillow.com%2Fhomedetails%2F2086299795_zpid%2F&byaddress=424+Lindbergh+Dr+NE+%23+208%2C+Atlanta%2C+GA%2C+30305
"424 Lindbergh Dr NE # 208, Atlanta, GA, 30305",2086299795,https://www.zillow.com/homedetails/2086299795_zpid/,zestimate_history,2026-04-12T16:13:40.051619+00:00,,,,,,,,,,402 Client Error: Payment Required for url: https://zillow.realtyapi.io/graph_charts?recent_first=True&which=zestimate_history&byzpid=2086299795&byurl=https%3A%2F%2Fwww.zillow.com%2Fhomedetails%2F2086299795_zpid%2F&byaddress=424+Lindbergh+Dr+NE+%23+208%2C+Atlanta%2C+GA%2C+30305
"120 Ralph Mcgill Blvd NE Apt 202 # 202, Atlanta, GA, 30308",82626092,https://www.zillow.com/homedetails/82626092_zpid/,rent_zestimate_history,2026-04-12T16:13:40.339831+00:00,,,,,,,,,,402 Client Error: Payment Required for url: https://zillow.realtyapi.io/graph_charts?recent_first=True&which=rent_zestimate_history&byzpid=82626092&byurl=https%3A%2F%2Fwww.zillow.com%2Fhomedetails%2F82626092_zpid%2F&byaddress=120+Ralph+Mcgill+Blvd+NE+Apt+202+%23+202%2C+Atlanta%2C+GA%2C+30308
