_input_address,_input_zpid,_input_url,_which,_fetched_at,x,y,_series_path,_series_index,_note,_error
"615 Broadview Pl NE, Atlanta, GA, 30324",2094515802,https://www.zillow.com/homedetails/2094515802_zpid/,rent_zestimate_history,2026-04-12T16:12:37.532775+00:00,1722409200000.0,2314.0,payload_DataPoints_homeValueChartData_0_points,21.0,,
"615 Broadview Pl NE, Atlanta, GA, 30324",2094515802,https://www.zillow.com/homedetails/2094515802_zpid/,rent_zestimate_history,2026-04-12T16:12:37.532775+00:00,1719730800000.0,2263.0,payload_DataPoints_homeValueChartData_0_points,22.0,,
"615 Broadview Pl NE, Atlanta, GA, 30324",2094515802,https://www.zillow.com/homedetails/2094515802_zpid/,rent_zestimate_history,2026-04-12T16:12:37.532775+00:00,1717138800000.0,2276.0,payload_DataPoints_homeValueChartData_0_points,23.0,,
"615 Broadview Pl NE, Atlanta, GA, 30324",2094515802,https://www.zillow.com/homedetails/2094515802_zpid/,rent_zestimate_history,2026-04-12T16:12:37.532775+00:00,1714460400000.0,2928.0,payload_DataPoints_homeValueChartData_0_points,24.0,,
"615 Broadview Pl NE, Atlanta, GA, 30324",2094515802,https://www.zillow.com/homedetails/2094515802_zpid/,rent_zestimate_history,2026-04-12T16:12:37.532775+00:00,1711868400000.0,3800.0,payload_DataPoints_homeValueChartData_0_points,25.0,,
"615 Broadview Pl NE, Atlanta, GA, 30324",2094515802,https://www.zillow.com/homedetails/2094515802_zpid/,rent_zestimate_history,2026-04-12T16:12:37.532775+00:00,1709193600000.0,3849.0,payload_DataPoints_homeValueChartData_0_points,26.0,,
"615 Broadview Pl NE, Atlanta, GA, 30324",2094515802,https://www.zillow.com/homedetails/2094515802_zpid/,rent_zestimate_history,2026-04-12T16:12:37.532775+00:00,1706688000000.0,3599.0,payload_DataPoints_homeValueChartData_0_points,27.0,,
"615 Broadview Pl NE, Atlanta, GA, 30324",2094515802,https://www.zillow.com/homedetails/2094515802_zpid/,rent_zestimate_history,2026-04-12T16:12:37.532775+00:00,1704009600000.0,3448.0,payload_DataPoints_homeValueChartData_0_points,28.0,,
"615 Broadview Pl NE, Atlanta, GA, 30324",2094515802,https://www.zillow.com/homedetails/2094515802_zpid/,rent_zestimate_history,2026-04-12T16:12:37.532775+00:00,1701331200000.0,3994.0,payload_DataPoints_homeValueChartData_0_points,29.0,,
"615 Broadview Pl NE, Atlanta, GA, 30324",2094515802,https://www.zillow.com/homedetails/2094515802_zpid/,rent_zestimate_history,2026-04-12T16:12:37.532775+00:00,1698735600000.0,3848.0,payload_DataPoints_homeValueChartData_0_points,30.0,,
"615 Broadview Pl NE, Atlanta, GA, 30324",2094515802,https://www.zillow.com/homedetails/2094515802_zpid/,rent_zestimate_history,2026-04-12T16:12:37.532775+00:00,1696057200000.0,3549.0,payload_DataPoints_homeValueChartData_0_points,31.0,,
"615 Broadview Pl NE, Atlanta, GA, 30324",2094515802,https://www.zillow.com/homedetails/2094515802_zpid/,rent_zestimate_history,2026-04-12T16:12:37.532775+00:00,1693465200000.0,3394.0,payload_DataPoints_homeValueChartData_0_points,32.0,,
"615 Broadview Pl NE, Atlanta, GA, 30324",2094515802,https://www.zillow.com/homedetails/2094515802_zpid/,rent_zestimate_history,2026-04-12T16:12:37.532775+00:00,1690786800000.0,3200.0,payload_DataPoints_homeValueChartData_0_points,33.0,,
"615 Broadview Pl NE, Atlanta, GA, 30324",2094515802,https://www.zillow.com/homedetails/2094515802_zpid/,rent_zestimate_history,2026-04-12T16:12:37.532775+00:00,1688108400000.0,2968.0,payload_DataPoints_homeValueChartData_0_points,34.0,,
"615 Broadview Pl NE, Atlanta, GA, 30324",2094515802,https://www.zillow.com/homedetails/2094515802_zpid/,rent_zestimate_history,2026-04-12T16:12:37.532775+00:00,1685516400000.0,3300.0,payload_DataPoints_homeValueChartData_0_points,35.0,,
"615 Broadview Pl NE, Atlanta, GA, 30324",2094515802,https://www.zillow.com/homedetails/2094515802_zpid/,rent_zestimate_history,2026-04-12T16:12:37.532775+00:00,1682838000000.0,3300.0,payload_DataPoints_homeValueChartData_0_points,36.0,,
"615 Broadview Pl NE, Atlanta, GA, 30324",2094515802,https://www.zillow.com/homedetails/2094515802_zpid/,rent_zestimate_history,2026-04-12T16:12:37.532775+00:00,1680246000000.0,3249.0,payload_DataPoints_homeValueChartData_0_points,37.0,,
"615 Broadview Pl NE, Atlanta, GA, 30324",2094515802,https://www.zillow.com/homedetails/2094515802_zpid/,rent_zestimate_history,2026-04-12T16:12:37.532775+00:00,1677571200000.0,3028.0,payload_DataPoints_homeValueChartData_0_points,38.0,,
"615 Broadview Pl NE, Atlanta, GA, 30324",2094515802,https://www.zillow.com/homedetails/2094515802_zpid/,rent_zestimate_history,2026-04-12T16:12:37.532775+00:00,1675152000000.0,3058.0,payload_DataPoints_homeValueChartData_0_points,39.0,,
"615 Broadview Pl NE, Atlanta, GA, 30324",2094515802,https://www.zillow.com/homedetails/2094515802_zpid/,rent_zestimate_history,2026-04-12T16:12:37.532775+00:00,1672473600000.0,3200.0,payload_DataPoints_homeValueChartData_0_points,40.0,,
"615 Broadview Pl NE, Atlanta, GA, 30324",2094515802,https://www.zillow.com/homedetails/2094515802_zpid/,rent_zestimate_history,2026-04-12T16:12:37.532775+00:00,1667199600000.0,2900.0,payload_DataPoints_homeValueChartData_0_points,41.0,,
"615 Broadview Pl NE, Atlanta, GA, 30324",2094515802,https://www.zillow.com/homedetails/2094515802_zpid/,rent_zestimate_history,2026-04-12T16:12:37.532775+00:00,1664521200000.0,3200.0,payload_DataPoints_homeValueChartData_0_points,42.0,,
"615 Broadview Pl NE, Atlanta, GA, 30324",2094515802,https://www.zillow.com/homedetails/2094515802_zpid/,rent_zestimate_history,2026-04-12T16:12:37.532775+00:00,1661929200000.0,2600.0,payload_DataPoints_homeValueChartData_0_points,43.0,,
"615 Broadview Pl NE, Atlanta, GA, 30324",2094515802,https://www.zillow.com/homedetails/2094515802_zpid/,rent_zestimate_history,2026-04-12T16:12:37.532775+00:00,1659250800000.0,3399.0,payload_DataPoints_homeValueChartData_0_points,44.0,,
"615 Broadview Pl NE, Atlanta, GA, 30324",2094515802,https://www.zillow.com/homedetails/2094515802_zpid/,rent_zestimate_history,2026-04-12T16:12:37.532775+00:00,1656572400000.0,3188.0,payload_DataPoints_homeValueChartData_0_points,45.0,,
"615 Broadview Pl NE, Atlanta, GA, 30324",2094515802,https://www.zillow.com/homedetails/2094515802_zpid/,rent_zestimate_history,2026-04-12T16:12:37.532775+00:00,1653980400000.0,2969.0,payload_DataPoints_homeValueChartData_0_points,46.0,,
"615 Broadview Pl NE, Atlanta, GA, 30324",2094515802,https://www.zillow.com/homedetails/2094515802_zpid/,rent_zestimate_history,2026-04-12T16:12:37.532775+00:00,1651302000000.0,2900.0,payload_DataPoints_homeValueChartData_0_points,47.0,,
"615 Broadview Pl NE, Atlanta, GA, 30324",2094515802,https://www.zillow.com/homedetails/2094515802_zpid/,rent_zestimate_history,2026-04-12T16:12:37.532775+00:00,1648710000000.0,2699.0,payload_DataPoints_homeValueChartData_0_points,48.0,,
"615 Broadview Pl NE, Atlanta, GA, 30324",2094515802,https://www.zillow.com/homedetails/2094515802_zpid/,rent_zestimate_history,2026-04-12T16:12:37.532775+00:00,1646035200000.0,2600.0,payload_DataPoints_homeValueChartData_0_points,49.0,,
"615 Broadview Pl NE, Atlanta, GA, 30324",2094515802,https://www.zillow.com/homedetails/2094515802_zpid/,rent_zestimate_history,2026-04-12T16:12:37.532775+00:00,1643616000000.0,2549.0,payload_DataPoints_homeValueChartData_0_points,50.0,,
"615 Broadview Pl NE, Atlanta, GA, 30324",2094515802,https://www.zillow.com/homedetails/2094515802_zpid/,rent_zestimate_history,2026-04-12T16:12:37.532775+00:00,1640937600000.0,2699.0,payload_DataPoints_homeValueChartData_0_points,51.0,,
"615 Broadview Pl NE, Atlanta, GA, 30324",2094515802,https://www.zillow.com/homedetails/2094515802_zpid/,rent_zestimate_history,2026-04-12T16:12:37.532775+00:00,1638259200000.0,2710.0,payload_DataPoints_homeValueChartData_0_points,52.0,,
"615 Broadview Pl NE, Atlanta, GA, 30324",2094515802,https://www.zillow.com/homedetails/2094515802_zpid/,rent_zestimate_history,2026-04-12T16:12:37.532775+00:00,1635663600000.0,2699.0,payload_DataPoints_homeValueChartData_0_points,53.0,,
"615 Broadview Pl NE, Atlanta, GA, 30324",2094515802,https://www.zillow.com/homedetails/2094515802_zpid/,rent_zestimate_history,2026-04-12T16:12:37.532775+00:00,1632985200000.0,2840.0,payload_DataPoints_homeValueChartData_0_points,54.0,,
"615 Broadview Pl NE, Atlanta, GA, 30324",2094515802,https://www.zillow.com/homedetails/2094515802_zpid/,rent_zestimate_history,2026-04-12T16:12:37.532775+00:00,1630393200000.0,2799.0,payload_DataPoints_homeValueChartData_0_points,55.0,,
"615 Broadview Pl NE, Atlanta, GA, 30324",2094515802,https://www.zillow.com/homedetails/2094515802_zpid/,rent_zestimate_history,2026-04-12T16:12:37.532775+00:00,1627714800000.0,2799.0,payload_DataPoints_homeValueChartData_0_points,56.0,,
"615 Broadview Pl NE, Atlanta, GA, 30324",2094515802,https://www.zillow.com/homedetails/2094515802_zpid/,rent_zestimate_history,2026-04-12T16:12:37.532775+00:00,1625036400000.0,2900.0,payload_DataPoints_homeValueChartData_0_points,57.0,,
"615 Broadview Pl NE, Atlanta, GA, 30324",2094515802,https://www.zillow.com/homedetails/2094515802_zpid/,rent_zestimate_history,2026-04-12T16:12:37.532775+00:00,1622444400000.0,2499.0,payload_DataPoints_homeValueChartData_0_points,58.0,,
"615 Broadview Pl NE, Atlanta, GA, 30324",2094515802,https://www.zillow.com/homedetails/2094515802_zpid/,rent_zestimate_history,2026-04-12T16:12:37.532775+00:00,1619766000000.0,2495.0,payload_DataPoints_homeValueChartData_0_points,59.0,,
"615 Broadview Pl NE, Atlanta, GA, 30324",2094515802,https://www.zillow.com/homedetails/2094515802_zpid/,rent_zestimate_history,2026-04-12T16:12:37.532775+00:00,1617174000000.0,2100.0,payload_DataPoints_homeValueChartData_0_points,60.0,,
"615 Broadview Pl NE, Atlanta, GA, 30324",2094515802,https://www.zillow.com/homedetails/2094515802_zpid/,rent_zestimate_history,2026-04-12T16:12:37.532775+00:00,1614499200000.0,2299.0,payload_DataPoints_homeValueChartData_0_points,61.0,,
"615 Broadview Pl NE, Atlanta, GA, 30324",2094515802,https://www.zillow.com/homedetails/2094515802_zpid/,rent_zestimate_history,2026-04-12T16:12:37.532775+00:00,1612080000000.0,2550.0,payload_DataPoints_homeValueChartData_0_points,62.0,,
"615 Broadview Pl NE, Atlanta, GA, 30324",2094515802,https://www.zillow.com/homedetails/2094515802_zpid/,rent_zestimate_history,2026-04-12T16:12:37.532775+00:00,1609401600000.0,2500.0,payload_DataPoints_homeValueChartData_0_points,63.0,,
"615 Broadview Pl NE, Atlanta, GA, 30324",2094515802,https://www.zillow.com/homedetails/2094515802_zpid/,rent_zestimate_history,2026-04-12T16:12:37.532775+00:00,1606723200000.0,2340.0,payload_DataPoints_homeValueChartData_0_points,64.0,,
